item_id,image_index,process_id
B0340,1,5025238
F0001,1,5025239
F0002,1,5025240
F0003,1,5025241
F0004,1,5025242
F0005,1,5025243
F0006,1,5025244
F0007,1,5025245
F0008,1,5025246
F0009,1,5025247
F0010,1,5025248
F0011,1,5025249
F0012,1,5025250
F0013,1,5025251
F0014,1,5025252
F0015,1,5025253
F0016,1,5025254
F0017,1,5025255
F0018,1,5025257
F0019,1,5025258
F0020,1,5025259
F0021,1,5025260
F0022,1,5025261
F0023,1,5025262
F0024,1,5025263
F0025,1,5025265
F0026,1,5025266
F0027,1,5025267
F0028,1,5025268
F0029,1,5025269
F0030,1,5025270
F0031,1,5025271
F0032,1,5025272
F0033,1,5025273
F0034,1,5025274
F0035,1,5025275
F0036,1,5025276
F0037,1,5025277
F0038,1,5025278
F0039,1,5025279
F0040,1,5025280
F0041,1,5025281
F0042,1,5025282
F0043,1,5025283
F0044,1,5025285
F0045,1,5025286
F0046,1,5025287
F0047,1,5025288
F0048,1,5025289
F0049,1,5025290
F0050,1,5025291
F0051,1,5025292
F0052,1,5025293
F0053,1,5025294
F0054,1,5025295
F0055,1,5025296
F0056,1,5025297
F0057,1,5025298
F0058,1,5025299
F0059,1,5025300
F0060,1,5025301
F0061,1,5025302
F0062,1,5025303
F0063,1,5025304
F0064,1,5025305
F0065,1,5025306
F0066,1,5025307
F0067,1,5025309
F0068,1,5025310
F0069,1,5025311
F0070,1,5025312
F0071,1,5025313
F0072,1,5025314
F0073,1,5025315
F0074,1,5025316
F0075,1,5025317
F0076,1,5025318
F0077,1,5025319
F0078,1,5025320
F0079,1,5025321
F0080,1,5025322
F0081,1,5025323
F0082,1,5025324
F0083,1,5025325
F0084,1,5025326
F0085,1,5025327
F0086,1,5025328
F0087,1,5025329
F0088,1,5025330
F0089,1,5025331
F0090,1,5025332
F0091,1,5025333
F0092,1,5025334
F0093,1,5025335
F0094,1,5025336
F0095,1,5025337
F0096,1,5025338
F0097,1,5025339
F0098,1,5025340
F0099,1,5025341
F0100,1,5025342
F0101,1,5025343
F0102,1,5025344
F0103,1,5025345
F0104,1,5025346
F0105,1,5025347
F0106,1,5025348
F0107,1,5025349
F0108,1,5025350
F0109,1,5025351
F0110,1,5025352
F0111,1,5025353
F0112,1,5025354
F0113,1,5025355
F0114,1,5025357
F0115,1,5025358
F0116,1,5025359
F0117,1,5025360
F0118,1,5025361
F0119,1,5025362
F0120,1,5025363
F0121,1,5025364
F0122,1,5025365
F0123,1,5025367
F0124,1,5025368
F0125,1,5025369
F0126,1,5025370
F0127,1,5025371
F0128,1,5025372
F0129,1,5025373
F0130,1,5025374
F0131,1,5025375
F0132,1,5025376
F0133,1,5025377
F0134,1,5025378
F0135,1,5025379
F0136,1,5025380
F0137,1,5025381
F0138,1,5025382
F0139,1,5025383
F0140,1,5025384
F0141,1,5025385
F0142,1,5025386
F0143,1,5025387
F0144,1,5025388
F0145,1,5025389
F0146,1,5025390
F0147,1,5025391
F0148,1,5025392
F0149,1,5025393
F0150,1,5025394
F0151,1,5025395
F0152,1,5025396
F0153,1,5025397
F0154,1,5025398
F0155,1,5025399
F0156,1,5025400
F0157,1,5025401
F0158,1,5025402
F0159,1,5025403
F0160,1,5025404
F0161,1,5025405
F0162,1,5025406
F0164,1,5025407
F0165,1,5025408
F0166,1,5025409
F0167,1,5025410
F0168,1,5025411
F0169,1,5025412
F0170,1,5025413
F0171,1,5025414
F0172,1,5025415
F0173,1,5025416
F0174,1,5025417
F0175,1,5025418
F0176,1,5025419
F0177,1,5025420
F0178,1,5025421
F0179,1,5025422
F0180,1,5025423
F0181,1,5025424
F0182,1,5025425
F0183,1,5025426
F0184,1,5025427
F0185,1,5025428
F0186,1,5025429
F0187,1,5025430
F0188,1,5025431
F0189,1,5025432
F0190,1,5025433
F0191,1,5025434
F0192,1,5025435
F0193,1,5025436
F0194,1,5025437
F0195,1,5025439
F0196,1,5025440
F0197,1,5025441
F0198,1,5025442
F0199,1,5025443
F0200,1,5025444
F0201,1,5025445
F0202,1,5025446
F0203,1,5025448
F0204,1,5025449
F0205,1,5025450
F0206,1,5025451
F0207,1,5025452
F0208,1,5025453
F0209,1,5025454
F0210,1,5025455
F0211,1,5025456
F0212,1,5025457
F0213,1,5025458
F0214,1,5025459
F0215,1,5025460
F0216,1,5025461
F0217,1,5025462
F0218,1,5025463
F0219,1,5025464
F0220,1,5025465
F0221,1,5025466
F0222,1,5025467
F0223,1,5025468
F0224,1,5025469
F0225,1,5025470
F0226,1,5025471
F0227,1,5025472
F0228,1,5025473
F0229,1,5025474
F0230,1,5025475
F0231,1,5025476
F0232,1,5025477
F0233,1,5025479
F0234,1,5025480
F0235,1,5025481
F0236,1,5025482
F0237,1,5025483
F0238,1,5025484
F0239,1,5025485
F0240,1,5025486
F0241,1,5025487
F0242,1,5025488
F0243,1,5025489
F0244,1,5025490
F0245,1,5025491
F0246,1,5025492
F0247,1,5025493
F0248,1,5025494
